gene1	gene2	score	gene1_name	chr1	gene2_name	chr2	score_map1	score_map2
ENSG00000138468.11	ENSG00000116237.11	52	SENP7	chr3	ICMT	chr1	0.951869453096757	0.915656571839836
ENSG00000138468.11	ENSG00000103199.9	51.5	SENP7	chr3	ZNF500	chr16	0.951869453096757	0.903398009183711
ENSG00000138468.11	ENSG00000090857.9	51	SENP7	chr3	PDPR	chr16	0.951869453096757	0.83036354108652
ENSG00000138468.11	ENSG00000175414.6	49	SENP7	chr3	ARL10	chr5	0.951869453096757	0.914165851101384
ENSG00000138468.11	ENSG00000198625.8	46	SENP7	chr3	MDM4	chr1	0.951869453096757	0.851048739350646
ENSG00000138468.11	ENSG00000105793.11	45	SENP7	chr3	GTPBP10	chr7	0.951869453096757	0.92385614223608
ENSG00000138468.11	ENSG00000090615.8	42.5	SENP7	chr3	GOLGA3	chr12	0.951869453096757	0.937295190055572
ENSG00000138468.11	ENSG00000006114.11	42	SENP7	chr3	SYNRG	chr17	0.951869453096757	0.948409668060149
ENSG00000138468.11	ENSG00000161010.10	41	SENP7	chr3	C5orf45	chr5	0.951869453096757	0.720741434640923
ENSG00000138468.11	ENSG00000181896.7	40.5	SENP7	chr3	ZNF101	chr19	0.951869453096757	0.793338927805552
ENSG00000138468.11	ENSG00000131437.11	40	SENP7	chr3	KIF3A	chr5	0.951869453096757	0.915520086328328
ENSG00000138468.11	ENSG00000166348.13	39.5	SENP7	chr3	USP54	chr10	0.951869453096757	0.965375986216903
ENSG00000138468.11	ENSG00000162813.13	38.5	SENP7	chr3	BPNT1	chr1	0.951869453096757	0.861640820954105
ENSG00000138468.11	ENSG00000186812.8	32.5	SENP7	chr3	ZNF397	chr18	0.951869453096757	0.927840921998152
ENSG00000138468.11	ENSG00000177302.10	32	SENP7	chr3	TOP3A	chr17	0.951869453096757	0.953229586585109
ENSG00000138468.11	ENSG00000198556.9	31.5	SENP7	chr3	ZNF789	chr7	0.951869453096757	0.898485969413905
ENSG00000138468.11	ENSG00000066427.17	29.5	SENP7	chr3	ATXN3	chr14	0.951869453096757	0.881698411771726
ENSG00000138468.11	ENSG00000127526.9	29.5	SENP7	chr3	SLC35E1	chr19	0.951869453096757	0.87194335076111
ENSG00000138468.11	ENSG00000189144.9	29.5	SENP7	chr3	ZNF573	chr19	0.951869453096757	0.903310557929118
ENSG00000138468.11	ENSG00000213020.4	29.5	SENP7	chr3	ZNF611	chr19	0.951869453096757	0.676248885474161
ENSG00000138468.11	ENSG00000053702.10	29	SENP7	chr3	NRIP2	chr12	0.951869453096757	0.936975121155257
ENSG00000138468.11	ENSG00000139719.5	29	SENP7	chr3	VPS33A	chr12	0.951869453096757	0.917048118439764
ENSG00000138468.11	ENSG00000146676.5	28	SENP7	chr3	PURB	chr7	0.951869453096757	0.953658763050408
ENSG00000138468.11	ENSG00000162419.8	27	SENP7	chr3	GMEB1	chr1	0.951869453096757	0.871342522502608
ENSG00000138468.11	ENSG00000102967.7	24	SENP7	chr3	DHODH	chr16	0.951869453096757	0.943311703331438
ENSG00000138468.11	ENSG00000179119.10	23	SENP7	chr3	SPTY2D1	chr11	0.951869453096757	0.927801032340385
ENSG00000138468.11	ENSG00000197471.7	23	SENP7	chr3	SPN	chr16	0.951869453096757	0.815727261321426
ENSG00000138468.11	ENSG00000104689.5	22	SENP7	chr3	TNFRSF10A	chr8	0.951869453096757	0.93046433439757
ENSG00000138468.11	ENSG00000132849.14	21.5	SENP7	chr3	INADL	chr1	0.951869453096757	0.944302678926717
ENSG00000138468.11	ENSG00000146909.3	21	SENP7	chr3	NOM1	chr7	0.951869453096757	0.923506954009741
ENSG00000138468.11	ENSG00000127804.8	20.5	SENP7	chr3	METTL16	chr17	0.951869453096757	0.939244291647219
ENSG00000138468.11	ENSG00000155621.10	20	SENP7	chr3	C9orf85	chr9	0.951869453096757	0.893829122661208
ENSG00000138468.11	ENSG00000137992.10	19.5	SENP7	chr3	DBT	chr1	0.951869453096757	0.915160360621699
ENSG00000138468.11	ENSG00000197608.7	19	SENP7	chr3	ZNF841	chr19	0.951869453096757	0.894504411612463
ENSG00000138468.11	ENSG00000088888.13	18	SENP7	chr3	MAVS	chr20	0.951869453096757	0.94821893651647
ENSG00000138468.11	ENSG00000187792.3	18	SENP7	chr3	ZNF70	chr22	0.951869453096757	0.94151056092897
ENSG00000138468.11	ENSG00000174151.10	17.5	SENP7	chr3	CYB561D1	chr1	0.951869453096757	0.962788117982256
ENSG00000138468.11	ENSG00000173480.6	17	SENP7	chr3	ZNF417	chr19	0.951869453096757	0.655976484454841
ENSG00000138468.11	ENSG00000134086.7	14	SENP7	chr3	VHL	chr3	0.951869453096757	0.884970100986012
ENSG00000138468.11	ENSG00000150455.9	14	SENP7	chr3	TIRAP	chr11	0.951869453096757	0.905340930252814
ENSG00000138468.11	ENSG00000197961.7	14	SENP7	chr3	ZNF121	chr19	0.951869453096757	0.973323718625628
ENSG00000138468.11	ENSG00000130713.11	13.5	SENP7	chr3	EXOSC2	chr9	0.951869453096757	0.897837172798397
ENSG00000138468.11	ENSG00000111911.5	12.5	SENP7	chr3	HINT3	chr6	0.951869453096757	0.92915113538145
ENSG00000138468.11	ENSG00000141098.8	12.5	SENP7	chr3	GFOD2	chr16	0.951869453096757	0.96953427616317
ENSG00000138468.11	ENSG00000148090.7	12.5	SENP7	chr3	AUH	chr9	0.951869453096757	0.914931625192144
ENSG00000138468.11	ENSG00000122696.8	12	SENP7	chr3	SLC25A51	chr9	0.951869453096757	0.755996291662497
ENSG00000138468.11	ENSG00000160961.7	12	SENP7	chr3	ZNF333	chr19	0.951869453096757	0.928365587016865
ENSG00000138468.11	ENSG00000115750.12	11	SENP7	chr3	TAF1B	chr2	0.951869453096757	0.99620580827516
ENSG00000138468.11	ENSG00000215883.5	11	SENP7	chr3	CYB5RL	chr1	0.951869453096757	0.936979898940631
ENSG00000138468.11	ENSG00000161664.2	10.5	SENP7	chr3	ASB16	chr17	0.951869453096757	0.922558552554294
ENSG00000138468.11	ENSG00000008323.11	9	SENP7	chr3	PLEKHG6	chr12	0.951869453096757	0.978101227126471
ENSG00000138468.11	ENSG00000183569.13	9	SENP7	chr3	SERHL2	chr22	0.951869453096757	0.599427979982507
ENSG00000138468.11	ENSG00000196388.4	7	SENP7	chr3	INCA1	chr17	0.951869453096757	0.943753930849447
ENSG00000138468.11	ENSG00000187726.4	6	SENP7	chr3	DNAJB13	chr11	0.951869453096757	0.965365165425137
ENSG00000138468.11	ENSG00000170734.7	5.5	SENP7	chr3	POLH	chr6	0.951869453096757	0.884369645816302
ENSG00000138468.11	ENSG00000137857.13	4.5	SENP7	chr3	DUOX1	chr15	0.951869453096757	0.905046813940742
ENSG00000138468.11	ENSG00000155393.8	4	SENP7	chr3	HEATR3	chr16	0.951869453096757	0.906762339801459
ENSG00000138468.11	ENSG00000254470.2	4	SENP7	chr3	AP5B1	chr11	0.951869453096757	0.930559910281037
ENSG00000138468.11	ENSG00000197780.5	3.5	SENP7	chr3	TAF13	chr1	0.951869453096757	0.960332479275495
ENSG00000138468.11	ENSG00000213865.3	3	SENP7	chr3	C8orf44	chr8	0.951869453096757	0.941929651692102
ENSG00000138468.11	ENSG00000184619.3	1.5	SENP7	chr3	KRBA2	chr17	0.951869453096757	0.925840294709688
ENSG00000138468.11	ENSG00000197363.5	1.5	SENP7	chr3	ZNF517	chr8	0.951869453096757	0.920464648632074
ENSG00000138468.11	ENSG00000205045.4	1.5	SENP7	chr3	SLFN12L	chr17	0.951869453096757	0.849740440638548
ENSG00000138468.11	ENSG00000004139.9	1	SENP7	chr3	SARM1	chr17	0.951869453096757	0.984027917803503
ENSG00000138468.11	ENSG00000081923.6	1	SENP7	chr3	ATP8B1	chr18	0.951869453096757	0.921439390548137
ENSG00000138468.11	ENSG00000112365.4	1	SENP7	chr3	ZBTB24	chr6	0.951869453096757	0.94002234583832
ENSG00000138468.11	ENSG00000157036.8	1	SENP7	chr3	EXOG	chr3	0.951869453096757	0.944526607769009
ENSG00000138468.11	ENSG00000162999.8	1	SENP7	chr3	DUSP19	chr2	0.951869453096757	0.8940633142362
ENSG00000138468.11	ENSG00000197429.6	1	SENP7	chr3	IPP	chr1	0.951869453096757	0.922680970069563
