gene	chr	start	end	GeneNameConv	Remove	RemovePseu	RemoveLowmapp	RemoveCrossmapp	RemoveAuto
UBIAD1	chr1	 11333263	 11356106	ENSG00000120942.9	TRUE	FALSE	FALSE	TRUE	FALSE
PTCHD2	chr1	 11539223	 11597641	ENSG00000204624.6	FALSE	FALSE	FALSE	FALSE	FALSE
FBXO2	chr1	 11708424	 11715842	ENSG00000116661.9	FALSE	FALSE	FALSE	FALSE	FALSE
FBXO44	chr1	 11714432	 11723384	ENSG00000132879.9	TRUE	FALSE	TRUE	TRUE	FALSE
FBXO6	chr1	 11724181	 11734411	ENSG00000116663.6	TRUE	FALSE	TRUE	TRUE	FALSE
MAD2L2	chr1	 11734537	 11751707	ENSG00000116670.10	FALSE	FALSE	FALSE	FALSE	FALSE
AGTRAP	chr1	 11796141	 11814859	ENSG00000177674.11	FALSE	FALSE	FALSE	FALSE	FALSE
MTHFR	chr1	 11845780	 11866977	ENSG00000177000.6	TRUE	FALSE	FALSE	TRUE	FALSE
CLCN6	chr1	 11866207	 11903201	ENSG00000011021.17	TRUE	FALSE	FALSE	TRUE	FALSE
NPPA-AS1	chr1	 11901074	 11908136	ENSG00000242349.1	TRUE	TRUE	FALSE	FALSE	FALSE
NPPA	chr1	 11905766	 11908402	ENSG00000175206.6	FALSE	FALSE	FALSE	FALSE	FALSE
KIAA2013	chr1	 11979648	 11986485	ENSG00000116685.11	TRUE	FALSE	TRUE	TRUE	FALSE
PLOD1	chr1	 11994262	 12035595	ENSG00000083444.12	TRUE	FALSE	FALSE	TRUE	FALSE
MFN2	chr1	 12040238	 12073571	ENSG00000116688.12	FALSE	FALSE	FALSE	FALSE	FALSE
MIIP	chr1	 12079523	 12092102	ENSG00000116691.6	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF8	chr1	 12123434	 12204264	ENSG00000120949.10	FALSE	FALSE	FALSE	FALSE	FALSE
TNFRSF1B	chr1	 12227060	 12269285	ENSG00000028137.12	TRUE	FALSE	FALSE	TRUE	FALSE
VPS13D	chr1	 12290124	 12572099	ENSG00000048707.9	TRUE	FALSE	FALSE	TRUE	FALSE
DHRS3	chr1	 12627939	 12677737	ENSG00000162496.4	TRUE	FALSE	FALSE	TRUE	FALSE
PRDM2	chr1	 14026693	 14151574	ENSG00000116731.18	FALSE	FALSE	FALSE	FALSE	FALSE
KAZN	chr1	 14925200	 15444539	ENSG00000189337.11	TRUE	FALSE	FALSE	TRUE	FALSE
TMEM51	chr1	 15479028	 15546976	ENSG00000171729.9	TRUE	FALSE	FALSE	TRUE	FALSE
EFHD2	chr1	 15736391	 15756839	ENSG00000142634.8	FALSE	FALSE	FALSE	FALSE	FALSE
CTRC	chr1	 15764935	 15775737	ENSG00000162438.7	TRUE	FALSE	TRUE	TRUE	FALSE
CASP9	chr1	 15817327	 15853029	ENSG00000132906.13	TRUE	FALSE	FALSE	TRUE	FALSE
DNAJC16	chr1	 15853308	 15918874	ENSG00000116138.8	TRUE	FALSE	FALSE	TRUE	FALSE
AGMAT	chr1	 15898848	 15911605	ENSG00000116771.5	TRUE	FALSE	TRUE	TRUE	FALSE
DDI2	chr1	 15943995	 15995539	ENSG00000197312.7	TRUE	FALSE	FALSE	TRUE	FALSE
RSC1A1	chr1	 15986364	 15988217	ENSG00000215695.1	FALSE	FALSE	FALSE	FALSE	FALSE
PLEKHM2	chr1	 16010827	 16061264	ENSG00000116786.7	TRUE	FALSE	FALSE	TRUE	FALSE
SLC25A34	chr1	 16062900	 16067891	ENSG00000162461.7	TRUE	FALSE	TRUE	TRUE	FALSE
SPEN	chr1	 16174359	 16266955	ENSG00000065526.6	TRUE	FALSE	FALSE	TRUE	FALSE
ZBTB17	chr1	 16268364	 16302627	ENSG00000116809.7	FALSE	FALSE	FALSE	FALSE	FALSE
EPHA2	chr1	 16450832	 16482582	ENSG00000142627.9	TRUE	FALSE	FALSE	TRUE	FALSE
ARHGEF19	chr1	 16524349	 16539104	ENSG00000142632.12	FALSE	FALSE	FALSE	FALSE	FALSE
RSG1	chr1	 16558195	 16563657	ENSG00000132881.7	FALSE	FALSE	FALSE	FALSE	FALSE
FBXO42	chr1	 16573334	 16678949	ENSG00000037637.6	TRUE	FALSE	FALSE	TRUE	FALSE
SZRD1	chr1	 16679070	 16724640	ENSG00000055070.12	TRUE	FALSE	FALSE	TRUE	FALSE
NECAP2	chr1	 16767167	 16786573	ENSG00000157191.15	TRUE	FALSE	FALSE	TRUE	FALSE
CROCCP3	chr1	 16793931	 16825752	ENSG00000080947.10	TRUE	TRUE	TRUE	TRUE	FALSE
NBPF1	chr1	 16888814	 16940057	ENSG00000219481.6	TRUE	FALSE	TRUE	TRUE	FALSE
CROCCP2	chr1	 16944751	 16971178	ENSG00000215908.5	TRUE	FALSE	TRUE	TRUE	FALSE
CROCC	chr1	 17066768	 17299474	ENSG00000058453.12	TRUE	FALSE	TRUE	TRUE	FALSE
ATP13A2	chr1	 17312453	 17338423	ENSG00000159363.13	TRUE	FALSE	FALSE	TRUE	FALSE
SDHB	chr1	 17345217	 17380665	ENSG00000117118.5	FALSE	FALSE	FALSE	FALSE	FALSE
PADI2	chr1	 17393256	 17445948	ENSG00000117115.8	TRUE	FALSE	FALSE	TRUE	FALSE
PADI4	chr1	 17634690	 17690499	ENSG00000159339.9	TRUE	FALSE	FALSE	TRUE	FALSE
PADI6	chr1	 17698691	 17728195	ENSG00000256049.2	TRUE	TRUE	FALSE	FALSE	FALSE
RCC2	chr1	 17733256	 17766220	ENSG00000179051.9	TRUE	FALSE	TRUE	TRUE	FALSE
ARHGEF10L	chr1	 17866330	 18024369	ENSG00000074964.12	FALSE	FALSE	FALSE	FALSE	FALSE
ALDH4A1	chr1	 19197926	 19229275	ENSG00000159423.12	FALSE	FALSE	FALSE	FALSE	FALSE
IFFO2	chr1	 19230775	 19283180	ENSG00000169991.6	TRUE	FALSE	FALSE	TRUE	FALSE
UBR4	chr1	 19401000	 19536770	ENSG00000127481.10	TRUE	FALSE	FALSE	TRUE	FALSE
EMC1	chr1	 19542158	 19578046	ENSG00000127463.9	TRUE	FALSE	FALSE	TRUE	FALSE
MRTO4	chr1	 19578033	 19586622	ENSG00000053372.4	TRUE	FALSE	TRUE	TRUE	FALSE
AKR7A2	chr1	 19630459	 19638640	ENSG00000053371.8	TRUE	FALSE	TRUE	TRUE	FALSE
PQLC2	chr1	 19638820	 19655794	ENSG00000040487.8	TRUE	FALSE	FALSE	TRUE	FALSE
Metazoa_SRP	chr3	155155329	155155612	ENSG00000272096.1	TRUE	TRUE	TRUE	TRUE	FALSE
CAPZB	chr1	 19665267	 19812066	ENSG00000077549.13	FALSE	FALSE	FALSE	FALSE	FALSE
RPS14P3	chr1	 19934608	 19935062	ENSG00000226396.1	TRUE	TRUE	TRUE	TRUE	FALSE
MINOS1	chr1	 19923477	 19956314	ENSG00000173436.9	TRUE	FALSE	TRUE	TRUE	FALSE
HTR6	chr1	 19991780	 20006055	ENSG00000158748.3	FALSE	FALSE	FALSE	FALSE	FALSE
TMCO4	chr1	 20008706	 20126438	ENSG00000162542.9	FALSE	FALSE	FALSE	FALSE	FALSE
OTUD3	chr1	 20209006	 20239438	ENSG00000169914.5	TRUE	FALSE	FALSE	TRUE	FALSE
PLA2G2D	chr1	 20438432	 20446050	ENSG00000117215.10	TRUE	FALSE	FALSE	TRUE	FALSE
UBXN10	chr1	 20512578	 20522541	ENSG00000162543.5	FALSE	FALSE	FALSE	FALSE	FALSE
CAMK2N1	chr1	 20808884	 20812713	ENSG00000162545.5	TRUE	FALSE	FALSE	TRUE	FALSE
MUL1	chr1	 20825943	 20834654	ENSG00000090432.5	FALSE	FALSE	FALSE	FALSE	FALSE
CDA	chr1	 20915441	 20945401	ENSG00000158825.5	FALSE	FALSE	FALSE	FALSE	FALSE
PINK1	chr1	 20959948	 20978004	ENSG00000158828.5	TRUE	FALSE	FALSE	TRUE	FALSE
DDOST	chr1	 20978270	 20988000	ENSG00000244038.5	TRUE	FALSE	TRUE	TRUE	FALSE
HP1BP3	chr1	 21069154	 21113816	ENSG00000127483.13	TRUE	FALSE	TRUE	TRUE	FALSE
EIF4G3	chr1	 21132963	 21503377	ENSG00000075151.15	TRUE	FALSE	FALSE	TRUE	FALSE
ECE1	chr1	 21543740	 21671997	ENSG00000117298.10	TRUE	FALSE	FALSE	TRUE	FALSE
NBPF3	chr1	 21766621	 21811498	ENSG00000142794.14	TRUE	FALSE	TRUE	TRUE	FALSE
ALPL	chr1	 21835858	 21904905	ENSG00000162551.9	FALSE	FALSE	FALSE	FALSE	FALSE
RAP1GAP	chr1	 21922708	 21995801	ENSG00000076864.15	FALSE	FALSE	FALSE	FALSE	FALSE
USP48	chr1	 22004791	 22110099	ENSG00000090686.11	FALSE	FALSE	FALSE	FALSE	FALSE
HSPG2	chr1	 22148738	 22263790	ENSG00000142798.12	TRUE	FALSE	FALSE	TRUE	FALSE
LINC00339	chr1	 22351681	 22357716	ENSG00000218510.3	FALSE	FALSE	FALSE	FALSE	FALSE
CDC42	chr1	 22379120	 22419437	ENSG00000070831.11	TRUE	FALSE	TRUE	TRUE	FALSE
WNT4	chr1	 22443798	 22470462	ENSG00000162552.10	TRUE	FALSE	FALSE	TRUE	FALSE
ZBTB40	chr1	 22778344	 22857650	ENSG00000184677.12	TRUE	FALSE	FALSE	TRUE	FALSE
C1QA	chr1	 22962999	 22966101	ENSG00000173372.12	FALSE	FALSE	FALSE	FALSE	FALSE
C1QC	chr1	 22970123	 22974603	ENSG00000159189.7	FALSE	FALSE	FALSE	FALSE	FALSE
C1QB	chr1	 22979255	 22988031	ENSG00000173369.11	FALSE	FALSE	FALSE	FALSE	FALSE
EPHB2	chr1	 23037332	 23241818	ENSG00000133216.12	TRUE	FALSE	FALSE	TRUE	FALSE
KDM1A	chr1	 23345941	 23410182	ENSG00000004487.11	FALSE	FALSE	FALSE	FALSE	FALSE
U6	chr1	180727858	180727953	ENSG00000272292.1	TRUE	TRUE	TRUE	TRUE	FALSE
LUZP1	chr1	 23410516	 23504301	ENSG00000169641.9	TRUE	FALSE	FALSE	TRUE	FALSE
HNRNPR	chr1	 23630264	 23670829	ENSG00000125944.14	TRUE	FALSE	FALSE	TRUE	FALSE
ZNF436	chr1	 23685941	 23695935	ENSG00000125945.10	FALSE	FALSE	FALSE	FALSE	FALSE
C1orf213	chr1	 23695490	 23698332	ENSG00000249087.3	TRUE	FALSE	FALSE	TRUE	FALSE
TCEA3	chr1	 23707554	 23751233	ENSG00000204219.5	TRUE	FALSE	FALSE	TRUE	FALSE
ASAP3	chr1	 23755056	 23811061	ENSG00000088280.14	FALSE	FALSE	FALSE	FALSE	FALSE
E2F2	chr1	 23832922	 23857712	ENSG00000007968.6	TRUE	FALSE	FALSE	TRUE	FALSE
ID3	chr1	 23884409	 23886285	ENSG00000117318.8	FALSE	FALSE	FALSE	FALSE	FALSE
MDS2	chr1	 23907985	 23967058	ENSG00000197880.4	TRUE	FALSE	FALSE	TRUE	FALSE
RPL11	chr1	 24018269	 24022915	ENSG00000142676.8	TRUE	FALSE	FALSE	TRUE	FALSE
TCEB3	chr1	 24069645	 24088549	ENSG00000011007.8	FALSE	FALSE	FALSE	FALSE	FALSE
PITHD1	chr1	 24104895	 24114722	ENSG00000057757.5	TRUE	FALSE	FALSE	TRUE	FALSE
LYPLA2	chr1	 24117460	 24122029	ENSG00000011009.6	TRUE	FALSE	TRUE	TRUE	FALSE
GALE	chr1	 24122089	 24127271	ENSG00000117308.10	FALSE	FALSE	FALSE	FALSE	FALSE
HMGCL	chr1	 24128375	 24165110	ENSG00000117305.10	TRUE	FALSE	FALSE	TRUE	FALSE
FUCA1	chr1	 24171567	 24194784	ENSG00000179163.11	FALSE	FALSE	FALSE	FALSE	FALSE
CNR2	chr1	 24197016	 24285549	ENSG00000188822.6	TRUE	FALSE	TRUE	TRUE	FALSE
PNRC2	chr1	 24285599	 24289952	ENSG00000189266.7	TRUE	FALSE	TRUE	TRUE	FALSE
SRSF10	chr1	 24291294	 24307417	ENSG00000188529.10	TRUE	FALSE	TRUE	TRUE	FALSE
IFNLR1	chr1	 24480647	 24514449	ENSG00000185436.7	TRUE	FALSE	FALSE	TRUE	FALSE
STPG1	chr1	 24683489	 24743424	ENSG00000001460.13	TRUE	FALSE	FALSE	TRUE	FALSE
NIPAL3	chr1	 24742284	 24799466	ENSG00000001461.12	TRUE	FALSE	FALSE	TRUE	FALSE
RCAN3	chr1	 24829387	 24867530	ENSG00000117602.7	TRUE	FALSE	FALSE	TRUE	FALSE
SRRM1	chr1	 24958207	 24999758	ENSG00000133226.12	TRUE	FALSE	TRUE	TRUE	FALSE
CLIC4	chr1	 25071848	 25170815	ENSG00000169504.10	TRUE	FALSE	TRUE	TRUE	FALSE
RUNX3	chr1	 25226002	 25291612	ENSG00000020633.14	TRUE	FALSE	FALSE	TRUE	FALSE
SYF2	chr1	 25549170	 25558993	ENSG00000117614.5	TRUE	FALSE	FALSE	TRUE	FALSE
C1orf63	chr1	 25568728	 25664704	ENSG00000117616.13	TRUE	FALSE	TRUE	TRUE	FALSE
RHD	chr1	 25598884	 25656936	ENSG00000187010.14	TRUE	FALSE	TRUE	TRUE	FALSE
TMEM50A	chr1	 25664408	 25688852	ENSG00000183726.6	TRUE	FALSE	FALSE	TRUE	FALSE
RHCE	chr1	 25688740	 25756683	ENSG00000188672.12	TRUE	FALSE	TRUE	TRUE	FALSE
TMEM57	chr1	 25757388	 25826700	ENSG00000204178.5	FALSE	FALSE	FALSE	FALSE	FALSE
LDLRAP1	chr1	 25870071	 25895377	ENSG00000157978.7	TRUE	FALSE	FALSE	TRUE	FALSE
MAN1C1	chr1	 25943959	 26112698	ENSG00000117643.10	TRUE	FALSE	FALSE	TRUE	FALSE
SEPN1	chr1	 26126667	 26144713	ENSG00000162430.12	TRUE	FALSE	FALSE	TRUE	FALSE
MTFR1L	chr1	 26145131	 26159432	ENSG00000117640.13	TRUE	FALSE	FALSE	TRUE	FALSE
AUNIP	chr1	 26158414	 26185903	ENSG00000127423.6	TRUE	FALSE	TRUE	TRUE	FALSE
PAQR7	chr1	 26187701	 26197744	ENSG00000182749.5	TRUE	FALSE	FALSE	TRUE	FALSE
STMN1	chr1	 26210672	 26233482	ENSG00000117632.16	TRUE	FALSE	FALSE	TRUE	FALSE
PAFAH2	chr1	 26286258	 26324648	ENSG00000158006.9	TRUE	FALSE	FALSE	TRUE	FALSE
PDIK1L	chr1	 26437664	 26452034	ENSG00000175087.5	FALSE	FALSE	FALSE	FALSE	FALSE
ZNF593	chr1	 26496362	 26498551	ENSG00000142684.7	FALSE	FALSE	FALSE	FALSE	FALSE
CNKSR1	chr1	 26503894	 26516377	ENSG00000142675.13	TRUE	FALSE	FALSE	TRUE	FALSE
CEP85	chr1	 26560691	 26605299	ENSG00000130695.9	TRUE	FALSE	FALSE	TRUE	FALSE
SH3BGRL3	chr1	 26605667	 26608007	ENSG00000142669.9	TRUE	FALSE	FALSE	TRUE	FALSE
